ITI_2	runS_770	noise_6745	fpc_7734	noise_8725	tpc_9727	noise_10723	cue_11556	res_13027
ITI_13810	runS_14400	head_photo_20410	resh_22029	NA	NA	NA	NA	NA
ITI_22533	runS_23150	noise_29165	fpc_30147	noise_31150	tpc_31988	noise_32988	cue_33840	res_35460
ITI_35963	runS_36879	noise_42888	fp_43414	noise_44406	tpc_45331	noise_46327	cue_46845	res_48009
ITI_48829	runS_49539	noise_55549	fpc_56207	noise_57204	tpc_57758	noise_58747	cue_59446	res_60651
ITI_61314	runS_62026	head_photo_68033	resh_70232	NA	NA	NA	NA	NA
ITI_71080	runS_71664	noise_77669	fp_78482	noise_79486	tpc_80116	noise_81105	cue_81618	res_82733
ITI_83232	runS_84079	noise_90085	fp_90712	noise_91703	tp_92275	noise_93269	cue_93906	res_95067
ITI_95765	runS_96693	noise_102705	fp_103407	noise_104406	tp_105045	noise_106045	cue_106724	res_107747
ITI_108689	runS_109259	head_photo_115267	resh_116368	NA	NA	NA	NA	NA
ITI_117275	runS_118190	noise_124207	fp_124888	noise_125882	tpc_126529	noise_127530	cue_128255	res_129403
ITI_130058	runS_131000	head_photo_137010	resh_138922	NA	NA	NA	NA	NA
ITI_139884	runS_140782	noise_146783	fp_147649	noise_148648	tp_149333	noise_150329	cue_151196	res_152877
ITI_153693	runS_154530	noise_160545	fp_161287	noise_162285	tp_162806	noise_163804	cue_164691	res_166014
ITI_166598	runS_167462	noise_173469	fp_173967	noise_174963	tp_175551	noise_176550	cue_177364	res_178769
ITI_179539	runS_180038	noise_186044	fp_186925	noise_187923	tp_188820	noise_189811	cue_190721	res_192252
ITI_193080	runS_193788	noise_199784	fpc_200422	noise_201429	tpc_201993	noise_202982	cue_203555	res_204510
ITI_205256	runS_206086	noise_212091	fp_212942	noise_213946	tp_214461	noise_215446	cue_216125	res_218499
ITI_219160	runS_219716	noise_225723	fp_226663	noise_227668	tp_228181	noise_229164	cue_230000	res_231343
ITI_232211	runS_233183	head_photo_239191	resh_240649	NA	NA	NA	NA	NA
ITI_241208	runS_242166	noise_248170	fp_248756	noise_249745	tp_250353	noise_251349	cue_252234	res_253327
ITI_254245	runS_255155	noise_261167	fp_261816	noise_262803	tp_263413	noise_264405	cue_265354	res_266858
ITI_267614	runS_268578	head_photo_274592	resh_276366	NA	NA	NA	NA	NA
ITI_276888	runS_277733	noise_283745	fp_284655	noise_285645	tpc_286450	noise_287447	cue_288226	res_289237
ITI_290050	runS_290768	noise_296791	fp_297554	noise_298544	tp_299389	noise_300391	cue_301011	res_302397
ITI_303343	runS_303938	noise_309947	fp_310793	noise_311783	tp_312542	noise_313543	cue_314445	res_316000
ITI_316588	runS_317587	noise_323585	fpc_324232	noise_325232	tpc_325780	noise_326771	cue_327433	res_328839
ITI_329355	runS_330021	noise_336027	fp_336663	noise_337664	tp_338414	noise_339405	cue_339934	res_342619
ITI_343254	runS_344013	head_photo_350025	resh_351191	NA	NA	NA	NA	NA
ITI_351849	runS_352585	noise_358583	fp_359516	noise_360507	tpc_361277	noise_362270	cue_363007	res_364489
ITI_365302	runS_366214	noise_372225	fp_372946	noise_373947	tpc_374716	noise_375710	cue_376452	res_377465
ITI_378442	runS_379121	noise_385130	fpc_385704	noise_386704	tpc_387513	noise_388509	cue_389458	res_390473
ITI_391261	runS_392174	head_photo_398185	resh_400173	NA	NA	NA	NA	NA
ITI_400803	runS_401702	noise_407709	fp_408670	noise_409664	tp_410252	noise_411244	cue_411847	res_414121
ITI_414821	runS_415430	noise_421448	fpc_422004	noise_423003	tpc_423697	noise_424683	cue_425441	res_426840
ITI_427578	runS_428529	noise_434546	fp_435152	noise_436144	tpc_436796	noise_437792	cue_438373	res_439448
ITI_440203	runS_440838	noise_446846	fp_447484	noise_448482	tp_449435	noise_450425	cue_451252	res_452823
ITI_453402	runS_454065	noise_460062	fp_461014	noise_462009	tp_462817	noise_463802	cue_464784	res_465894
ITI_466538	runS_467338	noise_473348	fp_473997	noise_474988	tp_475560	noise_476549	cue_477125	res_478799
ITI_479498	runS_480217	noise_486227	fp_487169	noise_488170	tp_489145	noise_490145	cue_491056	res_492239
ITI_492852	runS_493744	head_photo_499748	resh_502537	NA	NA	NA	NA	NA
ITI_503520	runS_504176	noise_510183	fp_511068	noise_512064	tp_512758	noise_513750	cue_514372	res_515522
ITI_516258	runS_517195	noise_523208	fp_523888	noise_524889	tp_525575	noise_526567	cue_527495	res_528779
