ITI_2	runS_931	noise_6932	fp_7690	noise_8669	tp_9205	noise_10189	cue_11183	res_17628
ITI_18307	runS_19070	noise_25071	fp_25936	noise_26936	tp_27767	noise_28749	cue_29696	res_44685
ITI_45532	runS_46312	head_photo_52311	resh_54876	NA	NA	NA	NA	NA
ITI_55870	runS_56770	noise_62777	fp_63371	noise_64370	tp_65187	noise_66169	cue_66831	res_71019
ITI_71969	runS_72577	head_photo_78592	resh_80615	NA	NA	NA	NA	NA
ITI_81235	runS_82159	head_photo_88171	resh_90122	NA	NA	NA	NA	NA
ITI_91074	runS_91591	noise_97594	fp_98404	noise_99392	tp_100262	noise_101254	cue_101800	res_104082
ITI_104876	runS_105440	noise_111457	fp_112435	noise_113436	tp_114006	noise_114997	cue_115926	res_118781
ITI_119648	runS_120255	noise_126274	fp_126992	noise_127990	tp_128581	noise_129571	cue_130145	res_136250
ITI_137042	runS_137642	noise_143654	fp_144615	noise_145613	tpc_146544	noise_147532	cue_148193	res_149768
ITI_150723	runS_151512	noise_157513	fp_158118	noise_159113	tp_160079	noise_161071	cue_161945	res_166442
ITI_167028	runS_167830	noise_173835	fp_174359	noise_175351	tpc_176301	noise_177295	cue_177895	res_179224
ITI_180079	runS_180715	noise_186731	fpc_187403	noise_188391	tpc_189372	noise_190372	cue_190948	res_192029
ITI_192797	runS_193540	noise_199554	fp_200340	noise_201337	tp_202033	noise_203034	cue_203584	res_207843
ITI_208770	runS_209546	noise_215553	fpc_216296	noise_217298	tpc_218056	noise_219048	cue_219587	res_220890
ITI_221766	runS_222441	noise_228452	fp_229313	noise_230314	tp_231205	noise_232188	cue_232733	res_235791
ITI_236780	runS_237642	noise_243650	fp_244522	noise_245511	tp_246380	noise_247368	cue_247880	res_258760
ITI_259258	runS_260247	noise_266248	fpc_267237	noise_268229	tpc_268793	noise_269795	cue_270542	res_271872
ITI_272462	runS_273162	noise_279173	fp_280037	noise_281031	tp_281590	noise_282592	cue_283409	res_285095
ITI_285784	runS_286765	noise_292776	fp_293287	noise_294294	tp_295162	noise_296151	cue_297151	res_298331
ITI_299316	runS_300034	head_photo_306057	resh_308147	NA	NA	NA	NA	NA
ITI_308890	runS_309808	noise_315807	fp_316695	noise_317690	tp_318562	noise_319556	cue_320236	res_328454
ITI_329268	runS_330015	noise_336034	fp_336836	noise_337829	tp_338470	noise_339475	cue_340416	res_343191
ITI_343799	runS_344453	noise_350476	fp_351070	noise_352069	tp_352742	noise_353732	cue_354670	res_359625
ITI_360508	runS_361252	noise_367249	fpc_367888	noise_368895	tpc_369630	noise_370630	cue_371248	res_372617
ITI_373443	runS_374380	head_photo_380393	resh_382414	NA	NA	NA	NA	NA
ITI_383395	runS_384248	noise_390255	fpc_391218	noise_392217	tpc_392866	noise_393855	cue_394412	res_395876
ITI_396691	runS_397675	noise_403689	fpc_404656	noise_405659	tpc_406464	noise_407455	cue_408240	res_409414
ITI_410109	runS_410793	head_photo_416792	resh_418772	NA	NA	NA	NA	NA
ITI_419607	runS_420226	noise_426228	fp_427104	noise_428089	tp_428995	noise_429994	cue_430970	res_432499
ITI_432998	runS_433744	noise_439751	fp_440344	noise_441328	tp_441937	noise_442930	cue_443532	res_446750
ITI_447346	runS_447982	noise_453995	fp_454877	noise_455871	tpc_456440	noise_457431	cue_458025	res_459246
ITI_459832	runS_460532	noise_466533	fp_467300	noise_468289	tp_469186	noise_470176	cue_470900	res_481589
ITI_482475	runS_483474	noise_489499	fp_490400	noise_491395	tpc_491956	noise_492953	cue_493891	res_495215
ITI_496205	runS_496703	noise_502715	fp_503646	noise_504631	tpc_505339	noise_506336	cue_506852	res_508270
ITI_508976	runS_509604	head_photo_515616	resh_517245	NA	NA	NA	NA	NA
ITI_518123	runS_518919	noise_524927	fp_525517	noise_526512	tp_527055	noise_528048	cue_528658	res_533863
ITI_534695	runS_535524	noise_541535	fp_542237	noise_543234	tp_543792	noise_544792	cue_545695	res_546924
ITI_547857	runS_548785	noise_554788	fp_555425	noise_556412	tpc_557357	noise_558354	cue_558969	res_560102
ITI_560988	runS_561653	head_photo_567655	resh_570237	NA	NA	NA	NA	NA
ITI_570817	runS_571398	noise_577414	fp_578326	noise_579316	tp_580254	noise_581249	cue_582191	res_583700
ITI_584570	runS_585234	noise_591228	fp_592035	noise_593030	tp_593836	noise_594836	cue_595329	res_596490
ITI_597051	runS_597795	noise_603808	fpc_604807	noise_605791	tpc_606381	noise_607371	cue_608249	res_609274
ITI_610253	runS_611127	noise_617132	fp_617647	noise_618633	tpc_619225	noise_620214	cue_621181	res_622577
ITI_623286	runS_623995	head_photo_630011	resh_631953	NA	NA	NA	NA	NA
ITI_632793	runS_633598	noise_639616	fp_640359	noise_641349	tpc_641893	noise_642893	cue_643553	res_645500
ITI_646011	runS_646849	noise_652856	fpc_653517	noise_654517	tpc_655125	noise_656109	cue_657102	res_658282
ITI_658978	runS_659716	noise_665734	fp_666728	noise_667731	tp_668349	noise_669352	cue_670310	res_671362
ITI_672351	runS_672931	noise_678937	fp_679827	noise_680813	tp_681776	noise_682776	cue_683753	res_692963
ITI_693792	runS_694691	noise_700695	fpc_701353	noise_702355	tpc_703026	noise_704017	cue_704774	res_706662
ITI_707460	runS_708437	noise_714451	fp_715205	noise_716192	tp_716933	noise_717934	cue_718538	res_725323
ITI_726292	runS_726818	noise_732834	fp_733446	noise_734435	tp_735389	noise_736389	cue_737364	res_745455
ITI_746100	runS_746883	noise_752890	fp_753794	noise_754795	tp_755442	noise_756433	cue_757193	res_759881
ITI_760596	runS_761562	noise_767571	fp_768325	noise_769311	tpc_769835	noise_770832	cue_771519	res_773017
