ITI_7	runS_813	noise_6795	fp_7590	noise_8593	tpc_9105	noise_10109	cue_10940	res_11974
ITI_12579	runS_13504	noise_19508	fp_20480	noise_21486	tp_22245	noise_23244	cue_24146	res_25329
ITI_26220	runS_27024	noise_33026	fp_33636	noise_34634	tp_35498	noise_36488	cue_37165	res_38309
ITI_39056	runS_39623	noise_45628	fp_46226	noise_47232	tp_47982	noise_48980	cue_49703	res_51748
ITI_52611	runS_53418	noise_59429	fp_60129	noise_61133	tp_61747	noise_62744	cue_63589	res_65009
ITI_65989	runS_66929	head_photo_72952	resh_74638	NA	NA	NA	NA	NA
ITI_75522	runS_76389	noise_82414	fp_83250	noise_84247	tp_85189	noise_86182	cue_86862	res_88222
ITI_89058	runS_89798	noise_95813	fpc_96475	noise_97473	tpc_98351	noise_99340	cue_99877	res_100843
ITI_101845	runS_102439	noise_108450	fp_109192	noise_110189	tp_110818	noise_111808	cue_112717	res_113614
ITI_114409	runS_115051	noise_121066	fp_121867	noise_122873	tp_123618	noise_124603	cue_125218	res_126186
ITI_127116	runS_127838	noise_133853	fp_134661	noise_135667	tp_136404	noise_137406	cue_138232	res_139325
ITI_140225	runS_140783	noise_146787	fp_147723	noise_148728	tp_149413	noise_150401	cue_151322	res_152562
ITI_153187	runS_153744	noise_159751	fpc_160384	noise_161382	tpc_162109	noise_163101	cue_164082	res_165116
ITI_165780	runS_166748	noise_172770	fpc_173402	noise_174414	tpc_175014	noise_176002	cue_176855	res_177874
ITI_178796	runS_179399	noise_185407	fp_186069	noise_187074	tp_187744	noise_188749	cue_189277	res_190542
ITI_191490	runS_192354	noise_198367	fp_199243	noise_200253	tpc_200939	noise_201925	cue_202513	res_203607
ITI_204354	runS_205946	noise_211971	fp_212504	noise_213508	tp_214367	noise_215367	cue_215950	res_217284
ITI_218014	runS_219377	noise_225385	fp_225990	noise_226988	tpc_227629	noise_228623	cue_229425	res_230629
ITI_231258	runS_232520	noise_238528	fp_239224	noise_240225	tp_241148	noise_242142	cue_243007	res_243945
ITI_244864	runS_246431	noise_252449	fpc_253439	noise_254446	tpc_255364	noise_256368	cue_257124	res_258167
ITI_258787	runS_260251	noise_266272	fpc_266957	noise_267950	tpc_268902	noise_269902	cue_270828	res_271468
ITI_272458	runS_273896	noise_279911	fp_280422	noise_281432	tp_281957	noise_282949	cue_283567	res_284169
ITI_285069	runS_286278	noise_292289	fp_292859	noise_293860	tp_294767	noise_295758	cue_296340	res_297722
ITI_298312	runS_299907	noise_305930	fp_306801	noise_307805	tpc_308389	noise_309378	cue_310063	res_311267
ITI_311961	runS_313600	head_photo_319605	resh_321070	NA	NA	NA	NA	NA
ITI_321814	runS_323225	noise_329245	fp_330071	noise_331066	tp_331782	noise_332781	cue_333327	res_335169
ITI_335900	runS_337199	noise_343203	fpc_344016	noise_345029	tpc_345918	noise_346919	cue_347679	res_348552
