ITI_0	runS_820	noise_6838	fpc_7807	noise_8792	tpc_9347	noise_10329	cuec11330	resc_12363
ITI_13333	runS_14249	noise_20254	fp_21142	noise_22140	tpc_23102	noise_24089	cuec24747	resc_25505
ITI_26330	runS_27280	noise_33294	fp_33838	noise_34836	tp_35699	noise_36690	cue_37543	res_38498
ITI_39236	runS_40076	head_photo_46093	resh_47349	NA	NA	NA	NA	NA
ITI_47358	runS_47921	noise_53945	fp_54578	noise_55572	tp_56138	noise_57129	cue_58041	res_59111
ITI_60054	runS_60918	noise_66933	fpc_67633	noise_68632	tpc_69293	noise_70295	cuec70879	resc_71425
ITI_72060	runS_72812	noise_78818	fp_79366	noise_80351	tp_81158	noise_82150	cue_83155	res_84168
ITI_84690	runS_85353	noise_91359	fp_92227	noise_93218	tp_94081	noise_95076	cue_95841	res_96458
ITI_97253	runS_98240	noise_104258	fp_104816	noise_105816	tp_106679	noise_107673	cue_108493	res_109770
ITI_110354	runS_111223	noise_117238	fp_118124	noise_119121	tpc_119960	noise_120948	cuec121804	resc_122797
ITI_123510	runS_124150	head_photo_130154	resh_132474	NA	NA	NA	NA	NA
ITI_132490	runS_133029	noise_139032	fp_139757	noise_140754	tp_141677	noise_142676	cue_143315	res_144243
ITI_144752	runS_145552	head_photo_151550	resh_152693	NA	NA	NA	NA	NA
ITI_152709	runS_153357	noise_159377	fp_160331	noise_161336	tpc_162017	noise_163012	cuec163686	resc_164620
ITI_165175	runS_166107	noise_172115	fp_173036	noise_174029	tpc_174836	noise_175833	cuec176596	resc_177533
ITI_178516	runS_179439	noise_185457	fp_186235	noise_187233	tp_187742	noise_188732	cue_189718	res_190579
ITI_191370	runS_192107	head_photo_198115	resh_199318	NA	NA	NA	NA	NA
ITI_199332	runS_199981	noise_205992	fpc_206783	noise_207774	tpc_208588	noise_209590	cuec210144	resc_210961
ITI_211668	runS_212355	noise_218374	fp_218904	noise_219891	tp_220881	noise_221870	cue_222399	res_223503
ITI_224155	runS_225084	noise_231092	fp_231949	noise_232961	tp_233566	noise_234550	cue_235303	res_237151
ITI_237944	runS_238782	noise_244789	fp_245609	noise_246615	tpc_247286	noise_248275	cuec249065	resc_250944
ITI_251637	runS_252553	noise_258557	fp_259469	noise_260471	tp_261408	noise_262409	cue_263032	res_264083
ITI_264675	runS_265599	noise_271612	fp_272554	noise_273555	tp_274483	noise_275474	cue_276414	res_277231
ITI_278116	runS_278798	head_photo_284815	resh_285867	NA	NA	NA	NA	NA
ITI_285882	runS_286776	noise_292800	fp_293359	noise_294351	tp_295083	noise_296075	cue_296931	res_302175
ITI_303071	runS_303700	noise_309721	fp_310491	noise_311497	tp_312410	noise_313417	cue_314289	res_315158
ITI_315785	runS_316592	head_photo_322592	resh_324735	NA	NA	NA	NA	NA
ITI_324745	runS_325373	noise_331381	fp_332030	noise_333030	tp_333836	noise_334837	cue_335720	res_336603
ITI_337292	runS_337864	head_photo_343870	resh_344927	NA	NA	NA	NA	NA
ITI_344942	runS_345579	noise_351597	fp_352304	noise_353293	tp_353932	noise_354931	cue_355767	res_356582
ITI_357288	runS_357881	noise_363898	fp_364681	noise_365673	tp_366172	noise_367172	cue_367805	res_368630
ITI_369385	runS_370041	head_photo_376056	resh_377431	NA	NA	NA	NA	NA
ITI_377441	runS_378377	noise_384391	fpc_384992	noise_385997	tpc_386962	noise_387950	cuec388621	resc_389742
ITI_390419	runS_390966	noise_396972	fp_397758	noise_398759	tp_399662	noise_400650	cue_401327	res_403233
ITI_403858	runS_404602	noise_410611	fp_411438	noise_412436	tp_413423	noise_414415	cue_415222	res_416444
ITI_417423	runS_418023	noise_424034	fp_424680	noise_425676	tpc_426228	noise_427235	cuec428226	resc_429205
ITI_430187	runS_430836	noise_436857	fp_437666	noise_438652	tpc_439520	noise_440509	cuec441054	resc_441791
ITI_442442	runS_443423	noise_449441	fp_450195	noise_451192	tp_451770	noise_452770	cue_453718	res_454538
ITI_455225	runS_455845	noise_461853	fp_462525	noise_463519	tp_464096	noise_465094	cue_465754	res_472306
ITI_472893	runS_473866	noise_479875	fpc_480502	noise_481492	tpc_482182	noise_483176	cuec483721	resc_484551
ITI_485190	runS_485924	noise_491933	fp_492834	noise_493841	tp_494641	noise_495632	cue_496197	res_497093
ITI_498009	runS_498999	head_photo_505008	resh_506030	NA	NA	NA	NA	NA
ITI_506044	runS_506874	noise_512878	fp_513707	noise_514695	tp_515448	noise_516449	cue_517444	res_518137
ITI_518962	runS_519848	noise_525853	fp_526421	noise_527415	tp_528253	noise_529256	cue_529973	res_530703
ITI_531490	runS_532350	noise_538359	fpc_539193	noise_540192	tpc_540773	noise_541775	cuec542442	resc_543321
ITI_543949	runS_544879	noise_550897	fp_551471	noise_552470	tpc_553238	noise_554234	cuec554829	resc_555623
ITI_556234	runS_557057	noise_563080	fpc_563789	noise_564795	tpc_565524	noise_566514	cuec567073	resc_568183
ITI_569124	runS_569816	noise_575832	fp_576450	noise_577462	tp_577991	noise_578991	cue_579948	res_581034
ITI_581991	runS_582884	noise_588891	fp_589816	noise_590811	tp_591709	noise_592717	cue_593290	res_593981
ITI_594649	runS_595193	noise_601188	fp_602070	noise_603075	tpc_603964	noise_604950	cuec605768	resc_606712
ITI_607615	runS_608452	noise_614448	fp_615092	noise_616098	tp_616625	noise_617609	cue_618202	res_618883
ITI_619436	runS_620270	noise_626273	fpc_626848	noise_627830	tpc_628551	noise_629552	cuec630291	resc_631148
ITI_631959	runS_632615	noise_638629	fp_639388	noise_640375	tp_641320	noise_642318	cue_643272	res_644477
ITI_645226	runS_645921	noise_651930	fpc_652831	noise_653832	tpc_654429	noise_655439	cuec656023	resc_656950
