6	1	1	0	Q1_right 	Correct 	20 	NA 	NA 	NA 	NA 	NA 	NA
6	1	1	0	NA 	NA 	20 	3 	facing_direction_4 	back 	2 	321	back
6	2	2	0	NA 	NA 	20 	3 	facing_direction_4 	right 	2 	123	right
6	3	2	0	NA 	NA 	20 	3 	facing_direction_3 	back 	1 	231	back
6	1	4	0	NA 	NA 	20 	1 	facing_direction_1 	right 	3 	123	right
6	2	2	0	NA 	NA 	20 	1 	facing_direction_1 	back 	2 	123	back
6	1	3	0	NA 	NA 	20 	2 	facing_direction_2 	back 	3 	123	back
6	1	4	0	NA 	NA 	20 	3 	facing_direction_4 	left 	1 	213	left
6	1	2	0	NA 	NA 	20 	3 	facing_direction_4 	left 	1 	132	left
6	1	3	0	NA 	NA 	20 	1 	facing_direction_1 	left 	2 	213	left
6	3	2	0	NA 	NA 	20 	2 	facing_direction_4 	right 	3 	321	right
6	1	4	0	NA 	NA 	20 	2 	facing_direction_2 	right 	1 	132	right
6	2	2	0	NA 	NA 	20 	2 	facing_direction_3 	back 	1 	132	back
6	1	1	0	NA 	NA 	20 	1 	facing_direction_1 	left 	2 	321	left
6	2	3	0	NA 	NA 	20 	2 	facing_direction_3 	left 	3 	321	left
6	1	2	0	NA 	NA 	20 	1 	facing_direction_1 	right 	3 	321	right
6	3	3	0	NA 	NA 	20 	3 	facing_direction_3 	left 	2 	123	left
6	3	3	0	NA 	NA 	20 	1 	facing_direction_1 	back 	3 	132	back
6	2	1	0	NA 	NA 	20 	2 	facing_direction_3 	left 	3 	321	left
6	3	4	0	NA 	NA 	20 	1 	facing_direction_1 	right 	2 	213	right
6	1	3	0	NA 	NA 	20 	3 	facing_direction_4 	back 	2 	132	back
6	2	1	0	NA 	NA 	20 	1 	facing_direction_1 	right 	3 	312	right
6	3	3	0	NA 	NA 	20 	2 	facing_direction_4 	left 	1 	321	left
6	3	4	0	NA 	NA 	20 	2 	facing_direction_4 	left 	1 	132	left
6	2	4	0	NA 	NA 	20 	3 	facing_direction_4 	left 	1 	321	left
6	1	1	0	NA 	NA 	20 	2 	facing_direction_2 	right 	1 	312	right
6	2	3	0	NA 	NA 	20 	1 	facing_direction_1 	right 	3 	123	right
6	3	2	0	NA 	NA 	20 	1 	facing_direction_1 	right 	2 	213	right
6	2	2	0	Q1_right 	Correct 	30 	NA 	NA 	NA 	NA 	NA 	NA
6	3	1	0	NA 	NA 	30 	2 	facing_direction_4 	right 	3 	231	right
6	3	4	0	NA 	NA 	30 	3 	facing_direction_3 	left 	2 	231	left
6	2	3	0	NA 	NA 	30 	3 	facing_direction_4 	left 	1 	123	left
6	3	4	1	Q1_right 	Incorrect 	30 	NA 	NA 	NA 	NA 	NA 	NA
6	2	4	0	NA 	NA 	30 	1 	facing_direction_1 	back 	2 	231	right
